No.,SMILES,HDAC6 activity,Applicability domain (AD),"Experimental value, pIC50",Standard deviation,Chemble ID
5821,COc1ccc(OC)c(C(O)CNC(=O)CN)c1,unreliable prediction,Outside AD,-,-,-
5822,Nc1nc(Cl)nc2c1ncn2C1CC(O)C(CO)O1,unreliable prediction,Outside AD,-,-,-
5823,COC(=O)CCC=C=CCC1C(=O)CC(O)C1C=CC(O)COc1ccccc1,unreliable prediction,Outside AD,-,-,-
5824,CC1CC2=CC(=O)CCC2C2CCC3(C)C(CCC3(C)O)C12,unreliable prediction,Outside AD,-,-,-
5825,CC(C)c1cc(C(C)C)c(CC(=O)NS(=O)(=O)Oc2c(C(C)C)cccc2C(C)C)c(C(C)C)c1,unreliable prediction,Outside AD,-,-,-
5826,Cc1ccc(-c2ccc(C)cn2)nc1,unreliable prediction,Outside AD,-,-,-
5827,[H]N=C(N)Nc1ccc(B2OCC(CO)O2)cc1,unreliable prediction,Outside AD,-,-,-
5828,OCC(O)CN1CCN(c2ccccc2)CC1,unreliable prediction,Outside AD,-,-,-
5829,OCC(O)CN1CCN(c2ccccc2)CC1,unreliable prediction,Outside AD,-,-,-
5830,CCCCCCC(=O)OC1CCC2C3CCC4=CC(=NNC(=O)C(O)(c5ccccc5)c5ccccc5)CCC4(C)C3CCC12C,unreliable prediction,Outside AD,-,-,-
5831,CC(=O)OC1N=C(c2ccccc2)c2cc(Cl)ccc2N(C)C1=O,unreliable prediction,Outside AD,-,-,-
5832,CCCN(CCC)C(=O)C(CCC(=O)OCCCN1CCN(CCOC(=O)Cc2c(C)n(C(=O)c3ccc(Cl)cc3)c3ccc(OC)cc23)CC1)NC(=O)c1ccccc1,Inactive,Inside AD,-,-,-
5833,O=C(O)CCc1nc2c(=O)[nH]c(=O)[nH]c2n(CC(O)C(O)C(O)CO)c1=O,Inactive,Inside AD,-,-,-
5834,CC1(C)OB(O)c2cc(NC(=O)c3ccc(F)cc3C(F)(F)F)ccc21,unreliable prediction,Outside AD,-,-,-
5835,CCCCCNC(=O)C(Cc1ccc(OCC(=O)O)c(C(=O)O)c1)NC(=O)C(Cc1ccccc1)NC(=O)CCC(=O)O,unreliable prediction,Outside AD,-,-,-
5836,CC(N)C(=O)c1ccccc1,unreliable prediction,Outside AD,-,-,-
5837,COc1cc(CC(CO)C(CO)Cc2ccc(O)c(OC)c2)ccc1O,unreliable prediction,Outside AD,-,-,-
5838,CCCCOc1cc(C(=O)NCCN(CC)CC)c2ccccc2n1,Inactive,Inside AD,-,-,-
5839,CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCC[N+](=O)[O-],Inactive,Inside AD,-,-,-
5840,N#Cc1ccc(COc2ccc3cc(S(=O)(=O)NC(CCC(=O)O)C(=O)O)ccc3c2)cc1,unreliable prediction,Outside AD,-,-,-
5841,Cc1ccc(NC(=O)C2CCCN(C(=O)c3c(C)cccc3F)C2c2ccc(NC3CCCC3)cc2)cc1C(F)(F)F,Inactive,Inside AD,-,-,-
5842,CC(C)C(CO)Nc1ccc2ncc(-c3cccc(N)c3)n2n1,Active,Inside AD,-,-,-
5843,COc1cc(C=C2CCCN(C(C)c3ccc(F)cc3)C2=O)ccc1-n1cnc(C)c1,unreliable prediction,Outside AD,-,-,-
5844,[H]N=C(N)c1ccc2nc(-c3ccc[nH]c3=O)[nH]c2c1,Inactive,Inside AD,-,-,-
5845,COc1cc(CN(C)c2cnc3nc(N)nc(N)c3c2)cc(OC)c1OC,unreliable prediction,Outside AD,-,-,-
5846,CC(O)CCO,unreliable prediction,Outside AD,-,-,-
5847,CC(O)CCO,unreliable prediction,Outside AD,-,-,-
5848,CC12CC(C=O)=C(O)CC1CCC1C2CCC2(C)C1CCC2(C)O,unreliable prediction,Outside AD,-,-,-
5849,CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O,Inactive,Inside AD,-,-,-
5850,NCCCCCC(O)(P(=O)(O)O)P(=O)(O)O,unreliable prediction,Outside AD,-,-,-
5851,O=P(O)(O)OC1C(O)C(O)C(O)C(OP(=O)(O)O)C1O,unreliable prediction,Outside AD,-,-,-
5852,CC1CC2C3CC(F)C4=CC(=O)C=CC4(C)C3C(O)CC2(C)C1C(=O)C(=O)O,unreliable prediction,Outside AD,-,-,-
5853,CC(C(=O)O)c1ccc2c(c1)[nH]c1ccc(Cl)cc12,unreliable prediction,Outside AD,-,-,-
5854,[H]N=C(N)c1ccc(CCC(CC(=O)OC)c2cccc(C(N)=N[H])c2)cc1,unreliable prediction,Outside AD,-,-,-
5855,C[N+](C)(C)NCCC(=O)O,unreliable prediction,Outside AD,-,-,-
5856,CNC(=O)N(N(CCCl)S(C)(=O)=O)S(C)(=O)=O,unreliable prediction,Outside AD,-,-,-
5857,CC(N)C(=O)c1nnc(C(C)(C)C)o1,unreliable prediction,Outside AD,-,-,-
5858,[H]N=C(N)NCCCC(NC(=O)C(N)CC(=O)O)C(=O)NC(C(=O)NC(Cc1ccc(O)cc1)C(=O)NC(C(=O)NC(Cc1cnc[nH]1)C(=O)N1CCCC1C(=O)O)C(C)CC)C(C)C,unreliable prediction,Outside AD,-,-,-
5859,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1,unreliable prediction,Outside AD,-,-,-
5860,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)NP(=O)(O)O)C(O)C1O,Inactive,Inside AD,-,-,-
5861,CN(c1nc(=O)cc[nH]1)C1CCN(c2nc3ccccc3n2Cc2ccc(F)cc2)CC1,unreliable prediction,Outside AD,-,-,-
5862,O=C(O)c1cccnc1,unreliable prediction,Outside AD,-,-,-
5863,CCOc1nc(N)nc2c1ncn2C1OC2COP(=O)(OC(C)C)OC2C1(C)F,Inactive,Inside AD,-,-,-
5864,CCOc1cc(OC)ccc1C1=NC(c2ccc(Br)cc2)C(c2ccc(Br)cc2)N1C(=O)N1CCN(CCO)CC1,Inactive,Inside AD,-,-,-
5865,Cc1ncc(-c2ccnc(Nc3ccc(N4CCN(C(=O)CO)CC4)cc3)n2)n1C(C)C,Inactive,Inside AD,-,-,-
5866,CCNC(C)Cc1ccc2c(c1)OCO2,Active,Inside AD,-,-,-
5867,CC(CCC(=O)NC(CCCCNC(=S)Nc1ccc(C2c3ccc(O)cc3Oc3cc(O)ccc32)c(C(=O)O)c1)C(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,Inactive,Inside AD,-,-,-
5868,Cc1ccc(C(=CCN2CCCC2)c2cccc(C=CC(=O)O)n2)cc1,unreliable prediction,Outside AD,-,-,-
5869,CC1=CC(=O)N2CC(=O)N(C)c3ccc(Cl)cc3C2(c2ccccc2)O1,Inactive,Inside AD,-,-,-
5870,CC(C)=CCCC(C)(OC1OC(CO)C(O)C(O)C1O)C1CCC2(C)C1C(O)CC1C3(C)CCC(O)C(C)(C)C3C(OC3OC(CO)C(O)C(O)C3OC3OC(C)C(O)C(O)C3O)CC12C,unreliable prediction,Outside AD,-,-,-
5871,Cc1cc(=O)c(C(=O)NC(C(=O)NC2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CSC23)c2ccc(O)cc2)c[nH]1,Inactive,Inside AD,-,-,-
5872,NS(=O)(=O)c1nnc(NS(=O)(=O)c2ccccc2)s1,unreliable prediction,Outside AD,-,-,-
5873,O=Cc1ccccc1OP(=O)(O)OCc1ccccc1,unreliable prediction,Outside AD,-,-,-
5874,[H]N=C(N)NN=C(C)c1cc(NC(=O)CCCCCCCCC(=O)Nc2cc(C(C)=NNC(N)=N[H])cc(C(C)=NNC(N)=N[H])c2)cc(C(C)=NNC(N)=N[H])c1,unreliable prediction,Outside AD,-,-,-
5875,CCCCCCC(=O)OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,unreliable prediction,Outside AD,-,-,-
5876,NCCCCCCCCN,unreliable prediction,Outside AD,-,-,-
5877,O=C(Cc1ccc(-c2ccccc2)cc1)Nc1ccccn1,unreliable prediction,Outside AD,-,-,-
5878,NC(CCCCNC(=O)O)C(=O)O,unreliable prediction,Outside AD,-,-,-
5879,CC(=O)NC(CS)C(=O)O,unreliable prediction,Outside AD,-,-,-
5880,Cc1oc(=O)oc1CN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)c2n3C(C)S2)CC1,Inactive,Inside AD,-,-,-
5881,O=C(NC(=O)c1c(F)cccc1F)Nc1cc(Cl)c(OC(F)(F)C(F)C(F)(F)F)cc1Cl,Inactive,Inside AD,-,-,-
5882,Nc1nc(NCCc2ccc(O)cc2)nc2nc(-c3ccco3)nn12,unreliable prediction,Outside AD,-,-,-
5883,CN1CCCC1Cc1c[nH]c2ccc(CCS(=O)(=O)c3ccccc3)cc12,unreliable prediction,Outside AD,-,-,-
5884,c1ccc(Cn2c(N3CCNCC3)nc3ccccc32)cc1,unreliable prediction,Outside AD,-,-,-
5885,CC(CN1c2ccccc2Sc2ccccc21)N(C)C,unreliable prediction,Outside AD,-,-,-
5886,C#CC1(O)CCC2C3CCc4cc(OC5CCCC5)ccc4C3CCC21C,unreliable prediction,Outside AD,-,-,-
5887,CN(C)C(=O)OC1N=C(c2ccccc2)c2cc(Cl)ccc2N(C)C1=O,unreliable prediction,Outside AD,-,-,-
5888,CCOc1ccc(Cc2nc3cc([N+](=O)[O-])ccc3n2CCN(CC)CC)cc1,unreliable prediction,Outside AD,-,-,-
5889,[H]N=C(N)c1ccc2cccc(NC(=O)c3cccc(S(=O)(=O)OCCCO)c3)c2c1,unreliable prediction,Outside AD,-,-,-
5890,O=C(O)CCCNC=C1N=C(c2ccccc2)OC1=O,unreliable prediction,Outside AD,-,-,-
5891,CCCCCC(O)C=CC1C(O)CC(O)C1CC=CCCCC(=O)O,unreliable prediction,Outside AD,-,-,-
5892,CCCCCCCCCCCCCCCC(=O)OCC(NC(=O)C(Cl)Cl)C(O)c1ccc([N+](=O)[O-])cc1,unreliable prediction,Outside AD,-,-,-
5893,CC(C)=CCCC(C)=CCCC(=CCOP(=O)(O)OP(=O)(O)O)C(F)(F)F,unreliable prediction,Outside AD,-,-,-
5894,CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCSC(=O)CCC[N+](=O)[O-],Inactive,Inside AD,-,-,-
5895,O=C(O)c1cc(=O)[nH]c(=O)[nH]1,unreliable prediction,Outside AD,-,-,-
5896,O=C1C=C(N2CC2)C(=O)C(N2CC2)=C1N1CC1,unreliable prediction,Outside AD,-,-,-
5897,CP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1O,Inactive,Inside AD,-,-,-
5898,O=C1NC2CCCCN2C12CCN(CCCN1c3ccccc3CCc3ccc(Cl)cc31)CC2,Inactive,Inside AD,-,-,-
5899,Cc1ncc(COP(=O)(O)O)c(CNc2co[nH]c2=O)c1O,unreliable prediction,Outside AD,-,-,-
5900,Cc1c(C(C)C)c(=O)n(-c2ccccc2)n1C,unreliable prediction,Outside AD,-,-,-
5901,[H]N=C(N)c1ccccc1,unreliable prediction,Outside AD,-,-,-
5902,c1ccc(C(Cc2noc(CCN3CCCCC3)n2)c2ccccc2)cc1,unreliable prediction,Outside AD,-,-,-
5903,c1cnc(NCc2ccc(CNc3ncccn3)cc2)nc1,unreliable prediction,Outside AD,-,-,-
5904,S=c1nc[nH]c2n[nH]cc12,unreliable prediction,Outside AD,-,-,-
5905,CSSCC(N)C(=O)O,unreliable prediction,Outside AD,-,-,-
5906,Cc1cc(CNC(=O)c2cc(C(=O)NCc3ccc(F)c(C)c3)ncn2)ccc1F,unreliable prediction,Outside AD,-,-,-
5907,Cc1cc(C#N)cc(C)c1Oc1nc(Nc2ccc(C#N)cc2)nc(N)c1Br,Inactive,Inside AD,-,-,-
5908,O=C(O)C(c1ccccc1)c1ccccc1,unreliable prediction,Outside AD,-,-,-
5909,CCCCCCCCCCCCOC1OC(CO)C(O)C(O)C1O,unreliable prediction,Outside AD,-,-,-
5910,O=CC(O)C(O)C(O)CO,unreliable prediction,Outside AD,-,-,-
5911,O=CC(O)C(O)C(O)CO,unreliable prediction,Outside AD,-,-,-
5912,CCOC(=O)C(C)CC(Cc1ccc(-c2ccccc2)cc1)NC(=O)CCC(=O)O,unreliable prediction,Outside AD,-,-,-
5913,COc1ccc2c(=O)c3ccccc3oc2c1CN1CCCCC1,unreliable prediction,Outside AD,-,-,-
5914,CSCCC(NC=O)C(=O)O,unreliable prediction,Outside AD,-,-,-
5915,Cn1c(C#N)ccc1-c1ccc2c(c1)C(C)(C)OC(=S)N2,Inactive,Inside AD,-,-,-
5916,O=C(NN=Cc1cc(Br)c(O)c(Br)c1O)c1cccnc1,unreliable prediction,Outside AD,-,-,-
5917,CNC1CC(C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,unreliable prediction,Outside AD,-,-,-
5918,CCC(CC)C(CO)NS(=O)(=O)c1ccc(Cl)s1,unreliable prediction,Outside AD,-,-,-
5919,Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1,unreliable prediction,Outside AD,-,-,-
5920,COc1c(OCCCN2CCOCC2)ccc2c1N=C(NC(=O)c1cnc(N)nc1)N1CCN=C21,Inactive,Inside AD,-,-,-
5921,CC1CC(S(=O)(=O)O)NC1C(=O)O,unreliable prediction,Outside AD,-,-,-
5922,CCC1COC(c2ccc(OCCCCCCCc3cc(C)no3)cc2)=N1,unreliable prediction,Outside AD,-,-,-
5923,O=c1ccc2ncc(=O)n3c2n1CC3CN1CCC(NCc2cc3c(cn2)OCCC3)CC1,Inactive,Inside AD,-,-,-
5924,[H]N=C1NC=NC2C1N=CN2C1OC(COS(=O)(=O)NC(=O)C(N)CCSC)C(O)C1O,Inactive,Inside AD,-,-,-
5925,NS(=O)(=O)c1cc2c(s1)S(=O)(=O)N(c1cccc(O)c1)C(CN1CCOCC1)=C2,Inactive,Inside AD,-,-,-
5926,OC(c1ccccc1)(c1ccccc1)C1CN2CCC1CC2,unreliable prediction,Outside AD,-,-,-
5927,CNCC(=O)c1ccc(O)c(O)c1,unreliable prediction,Outside AD,-,-,-
5928,NC(Cc1ccc(I)cc1)C(=O)O,unreliable prediction,Outside AD,-,-,-
5929,NC(Cc1ccc(I)cc1)C(=O)O,unreliable prediction,Outside AD,-,-,-
5930,Cc1[nH]c(=O)c(C#N)cc1-c1ccncc1,unreliable prediction,Outside AD,-,-,-
5931,NS(=O)(=O)c1nnc(-c2ccccc2Cl)s1,unreliable prediction,Outside AD,-,-,-
5932,NC(Cc1cc(NC(=CC=O)COc2ccc3ccccc3c2)c(O)cc1O)C(=O)O,unreliable prediction,Outside AD,-,-,-
5933,CC12CCC(O)CC1=CCC1C2CCC2(C)C(O)CCC12,unreliable prediction,Outside AD,-,-,-
5934,CCN1CCN(c2ccc(Nc3cc(N(C)C(=O)Nc4c(Cl)c(OC)cc(OC)c4Cl)ncn3)cc2)CC1,Inactive,Inside AD,-,-,-
5935,Cc1c(O)cccc1C(=O)NC(CSc1ccccc1)C(O)CN1CC2CCCCC2CC1C(=O)NC(C)(C)C,unreliable prediction,Outside AD,-,-,-
5936,COC(=O)NC(C(=O)NCCCCC(CO)N(CC(C)C)S(=O)(=O)c1ccc(N)cc1)C(c1ccccc1)c1ccccc1,unreliable prediction,Outside AD,-,-,-
5937,CCOC(=O)C1(OC(=O)C(Cl)Cl)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC21C,unreliable prediction,Outside AD,-,-,-
5938,O=C(O)C=Cc1ccc(O)c(O)c1,unreliable prediction,Outside AD,-,-,-
5939,c1coc(CNc2ncnc3nc[nH]c23)c1,unreliable prediction,Outside AD,-,-,-
5940,CCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O,Inactive,Inside AD,-,-,-
5941,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OC2C(O)C(CO)OC2n2ccc(=O)[nH]c2=O)C(O)C1O,Inactive,Inside AD,-,-,-
5942,CCCC(=O)SCC(N)C(=O)O,unreliable prediction,Outside AD,-,-,-
5943,NS(=O)(=O)c1ccc(C(=O)NCc2cccc(F)c2F)cc1,unreliable prediction,Outside AD,-,-,-
5944,CCNC1(c2cccs2)CCCCC1=O,unreliable prediction,Outside AD,-,-,-
5945,NC(=O)C1(N2CCCCC2)CCN(CCCN2c3ccccc3CCc3ccc(Cl)cc32)CC1,unreliable prediction,Outside AD,-,-,-
5946,CC(C)(c1ccccc1)c1ccc(O)cc1,unreliable prediction,Outside AD,-,-,-
5947,CCOc1cc(C(C)(C)C)ccc1C1=NC(C)(c2ccc(Cl)cc2)C(C)(c2ccc(Cl)cc2)N1C(=O)N1CCN(CCCS(C)(=O)=O)CC1,Inactive,Inside AD,-,-,-
5948,O=C(O)Cc1ccc(O)c([N+](=O)[O-])c1,unreliable prediction,Outside AD,-,-,-
5949,CCCCC(C)=CC=C(C)C(=O)c1c(O)cc(CCCC=CNC(=O)OC)oc1=O,unreliable prediction,Outside AD,-,-,-
5950,OCCNc1ncnc2c1nc1ccccn12,unreliable prediction,Outside AD,-,-,-
5951,Cc1cc2c(C(C)C)c(O)c(O)c(C=O)c2c(O)c1-c1c(C)cc2c(C(C)C)c(O)c(O)c(C=O)c2c1O,unreliable prediction,Outside AD,-,-,-
5952,CC(C)(C)OC(=O)Nc1cccnc1C(=O)Nc1nccs1,unreliable prediction,Outside AD,-,-,-
