No.,SMILES,HDAC6 activity,Applicability domain (AD),"Experimental value, pIC50",Standard deviation,Chemble ID
5973,[H]N=C1N=C2NCC(COP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)=NC2C(=O)N1,Inactive,Inside AD,-,-,-
5974,NCc1ccc(C(=O)O)cc1,unreliable prediction,Outside AD,-,-,-
5975,O=C(NC(Cc1ccccc1)C(=O)NC(CCc1ccccc1)C(=O)CO)OCc1cccnc1,unreliable prediction,Outside AD,-,-,-
5976,O=C1CC2(C(=O)N1)C(=O)N(Cc1ccc(Br)cc1F)C(=O)c1cccn12,Inactive,Inside AD,-,-,-
5977,N#Cc1cnn2c(Nc3ccccc3)nc(NCc3ccc(Cl)cc3)nc12,unreliable prediction,Outside AD,-,-,-
5978,CCCCCCCCCCCC1=C(O)C(=O)c2scnc2C1=O,unreliable prediction,Outside AD,-,-,-
5979,CCOCCP(CCOCC)CCP(CCOCC)CCOCC,unreliable prediction,Outside AD,-,-,-
5980,CC(=O)Nc1ccc(C(=O)O)cc1,unreliable prediction,Outside AD,-,-,-
5981,CC(C(=O)O)N(C)C,unreliable prediction,Outside AD,-,-,-
5982,COc1cc(CC(C)C(C)Cc2ccc3c(c2)OCO3)ccc1O,Active,Inside AD,-,-,-
5983,CCCCC(CN(O)C=O)C(=O)N1CCCC1c1nc2ccccc2o1,unreliable prediction,Outside AD,-,-,-
5984,C=C1C(CO)C(O)CC1n1cnc2c(=O)nc(N)[nH]c21,unreliable prediction,Outside AD,-,-,-
