No.;SMILES;HDAC6 activity;Applicability domain (AD);Experimental value; pIC50;Standard deviation;Chemble ID
1;CC1OCC2(c3cc(NC(=O)c4cnc(C(F)F)cn4)ccc3F)N=C(N)SCC12;unreliable prediction;Outside AD;-0;-0;-0;
2;CCc1cc(Cl)c(OC)c(C(=O)NCC2CCCN2CC)c1O;unreliable prediction;Outside AD;-0;-0;-0;
3;CC(=O)Oc1cc(C)cc2c1C1=C(CCC(C)C1)C(C)(C)O2;unreliable prediction;Outside AD;-0;-0;-0;
4;OC(C1CO1)C(O)C1CO1;unreliable prediction;Outside AD;-0;-0;-0;
5;CC(=O)Nc1cc2cccnc2c2ncccc12;unreliable prediction;Outside AD;-0;-0;-0;
6;C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1;unreliable prediction;Outside AD;-0;-0;-0;
7;CC1(C)CCC(C)(C)c2cc(C(O)C(=O)Nc3ccc(C(=O)O)cc3F)ccc21;unreliable prediction;Outside AD;-0;-0;-0;
8;CC1(C)CCC(C)(C)c2cc(C(O)C(=O)Nc3ccc(C(=O)O)cc3F)ccc21;unreliable prediction;Outside AD;-0;-0;-0;
9;NS(=O)(=O)c1ccc(C(=O)NCc2ccc(F)c(F)c2F)cc1;unreliable prediction;Outside AD;-0;-0;-0;
10;CC1(C)SCCN(S(=O)(=O)c2ccc(OCC#CCN)cc2)C1C(=O)NO;unreliable prediction;Outside AD;-0;-0;-0;
11;CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21;unreliable prediction;Outside AD;-0;-0;-0;
12;CC[N+](C)(C)Cc1ccccc1Br;unreliable prediction;Outside AD;-0;-0;-0;
13;CC12CCC(=O)C=C1CCC1C3CCC(O)(C(=O)CO)C3(C)CC(O)C12F;unreliable prediction;Outside AD;-0;-0;-0;
14;Nc1nc(=O)c2ncn(C3OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)OCC4OC(n5cnc6c(=O)nc(N)[nH]c65)C(O)C4O)C(O)C3O)c2[nH]1;unreliable prediction;Outside AD;-0;-0;-0;
15;COc1ccc(C2CNC(=O)C(Cc3cccc(C)c3)C2)cc1OC1CCCC1;unreliable prediction;Outside AD;-0;-0;-0;
16;CN(Cc1ccc(C(C)(C)C)cc1)Cc1cccc2ccccc12;unreliable prediction;Outside AD;-0;-0;-0;
17;CCOc1cc(CC2SC(=S)N(CC(=O)O)C2=O)c(Br)c(Br)c1O;unreliable prediction;Outside AD;-0;-0;-0;
18;Cc1[nH]c2ccccc2c1CCNC(=O)c1cccs1;unreliable prediction;Outside AD;-0;-0;-0;
19;COC(C)Cn1c(=O)n(C)c2cnc3ccc(-c4cncc(C(C)(C)O)c4)cc3c21;unreliable prediction;Outside AD;-0;-0;-0;
20;CCOCCn1c(C2CCN(CCc3ccc(C(C)(C)C(=O)O)cc3)CC2)nc2ccccc21;unreliable prediction;Outside AD;-0;-0;-0;
21;CC(C(=O)N1CCOCC1)N1CCC(NS(=O)(=O)C=Cc2ccc(Cl)s2)C1=O;unreliable prediction;Outside AD;-0;-0;-0;
